	event_id	factlets_cluster_id	fact	context	label
0	2020_08_20_16	factlets_cluster-13	at least four justices must vote take case mr. trump ’ appeal heard supreme court .	file photo : u.s. president donald trump speaks meeting iraq 's prime minister mustafa al-kadhimi oval office white house washington , u.s. , august 20 , 2020 . reuters/carlos barria/file photo washington ( reuters ) - the justice department thursday asked u.s. supreme court review appeals court decision requiring u.s. president donald trump unblock twitter users viewing account . trump lost lawsuit may 2018 behalf twitter users agreed unblock accounts . trump made @ realdonaldtrump account , opened 2009 , central controversial part	1
1	2020_08_20_16	factlets_cluster-11	in 2018 , district court ruled mr. trump ’ twitter account “ public forum “ discriminate disagree , reasoning viewpoint discrimination violation first amendment .	file photo : u.s. president donald trump speaks meeting iraq 's prime minister mustafa al-kadhimi oval office white house washington , u.s. , august 20 , 2020 . reuters/carlos barria/file photo washington ( reuters ) - the justice department thursday asked u.s. supreme court review appeals court decision requiring u.s. president donald trump unblock twitter users viewing account . trump lost lawsuit may 2018 behalf twitter users agreed unblock accounts . trump made @ realdonaldtrump account , opened 2009 , central controversial part	1
2	2020_08_20_16	factlets_cluster-6	the administration reasoned president created twitter account 2009 private citizen allowed block users , would mean treated differently twitter account holders .	file photo : u.s. president donald trump speaks meeting iraq 's prime minister mustafa al-kadhimi oval office white house washington , u.s. , august 20 , 2020 . reuters/carlos barria/file photo washington ( reuters ) - the justice department thursday asked u.s. supreme court review appeals court decision requiring u.s. president donald trump unblock twitter users viewing account . trump lost lawsuit may 2018 behalf twitter users agreed unblock accounts . trump made @ realdonaldtrump account , opened 2009 , central controversial part	1
3	2020_08_20_16	factlets_cluster-5	mr. trump ’ justice department , though , wants supreme court step , arguing justices must hear case lower courts ’ rulings blur line official action personal conduct .	file photo : u.s. president donald trump speaks meeting iraq 's prime minister mustafa al-kadhimi oval office white house washington , u.s. , august 20 , 2020 . reuters/carlos barria/file photo washington ( reuters ) - the justice department thursday asked u.s. supreme court review appeals court decision requiring u.s. president donald trump unblock twitter users viewing account . trump lost lawsuit may 2018 behalf twitter users agreed unblock accounts . trump made @ realdonaldtrump account , opened 2009 , central controversial part	1
4	2020_08_20_16	factlets_cluster-4	both federal district circuit court ruled president violated first amendment blocking twitter users since uses personal account , times , announce official policies .	file photo : u.s. president donald trump speaks meeting iraq 's prime minister mustafa al-kadhimi oval office white house washington , u.s. , august 20 , 2020 . reuters/carlos barria/file photo washington ( reuters ) - the justice department thursday asked u.s. supreme court review appeals court decision requiring u.s. president donald trump unblock twitter users viewing account . trump lost lawsuit may 2018 behalf twitter users agreed unblock accounts . trump made @ realdonaldtrump account , opened 2009 , central controversial part	1
5	2020_08_20_16	factlets_cluster-1	trump asks supreme court hear case right block followers twitter	file photo : u.s. president donald trump speaks meeting iraq 's prime minister mustafa al-kadhimi oval office white house washington , u.s. , august 20 , 2020 . reuters/carlos barria/file photo washington ( reuters ) - the justice department thursday asked u.s. supreme court review appeals court decision requiring u.s. president donald trump unblock twitter users viewing account . trump lost lawsuit may 2018 behalf twitter users agreed unblock accounts . trump made @ realdonaldtrump account , opened 2009 , central controversial part	1
6	2020_08_20_16	factlets_cluster0	president trump asked supreme court thursday hear case ability block users twitter account lower courts said move ran afoul constitution .	file photo : u.s. president donald trump speaks meeting iraq 's prime minister mustafa al-kadhimi oval office white house washington , u.s. , august 20 , 2020 . reuters/carlos barria/file photo washington ( reuters ) - the justice department thursday asked u.s. supreme court review appeals court decision requiring u.s. president donald trump unblock twitter users viewing account . trump lost lawsuit may 2018 behalf twitter users agreed unblock accounts . trump made @ realdonaldtrump account , opened 2009 , central controversial part	1
7	2020_08_20_16	factlets_cluster0	the justice department thursday asked high court review federal appeals court ruling found president 's practice blocking critics violates first amendment .	file photo : u.s. president donald trump speaks meeting iraq 's prime minister mustafa al-kadhimi oval office white house washington , u.s. , august 20 , 2020 . reuters/carlos barria/file photo washington ( reuters ) - the justice department thursday asked u.s. supreme court review appeals court decision requiring u.s. president donald trump unblock twitter users viewing account . trump lost lawsuit may 2018 behalf twitter users agreed unblock accounts . trump made @ realdonaldtrump account , opened 2009 , central controversial part	1
8	2020_08_20_16	factlets_cluster0	the white house asked supreme court thursday reverse lower court ruling said president donald trump 's practice blocking critics twitter ran afoul constitution 's first amendment .	file photo : u.s. president donald trump speaks meeting iraq 's prime minister mustafa al-kadhimi oval office white house washington , u.s. , august 20 , 2020 . reuters/carlos barria/file photo washington ( reuters ) - the justice department thursday asked u.s. supreme court review appeals court decision requiring u.s. president donald trump unblock twitter users viewing account . trump lost lawsuit may 2018 behalf twitter users agreed unblock accounts . trump made @ realdonaldtrump account , opened 2009 , central controversial part	1
9	2020_08_20_16	factlets_cluster5	the knight first amendment institute columbia university filed suit behalf seven people trump blocked posted comments criticizing president .	file photo : u.s. president donald trump speaks meeting iraq 's prime minister mustafa al-kadhimi oval office white house washington , u.s. , august 20 , 2020 . reuters/carlos barria/file photo washington ( reuters ) - the justice department thursday asked u.s. supreme court review appeals court decision requiring u.s. president donald trump unblock twitter users viewing account . trump lost lawsuit may 2018 behalf twitter users agreed unblock accounts . trump made @ realdonaldtrump account , opened 2009 , central controversial part	1
